Price,Location,Size,Room,Bathroom,Parking
55800,"Mejia, Islay",42,70000,,
635250,"Los Sauces De Challapampa, Cerro Colorado",135,3,2,1
937500,"Yanahuara, Arequipa",100,3,3,2
1068750,"Arequipa, Arequipa",246,6,5,3
1240800,"Cayma, Arequipa",280,4,4,2
2201500,"Los Guindos, Cayma",243,4,4,2
1159400,"Lara Tradicional, Socabaya",222,16,5,1
968000,"Yanahuara, Arequipa",120,3,2,1
1020250,"Umacollo, Yanahuara",222,4,2,2
2101800,"12 De Octubre, Cerro Colorado",570,4,3,3
629000,"La Marina, Cayma",97,3,2,1
885500,"Quezada, Yanahuara",188,3,3,
1163465,"Los Arces, Cayma",331,,,
736300,"Mejia, Islay",144,3,5,2
1665000,"Señorial, Cayma",270,3,4,4
690000,"Socabaya, Arequipa",200,4,3,1
920000,"Umacollo, Yanahuara",250,3,2,2
399640,"Quinta Señorial, Cayma",124,3,2,1
3274500000,"Cercado, Arequipa",308,7,5,
7500000,"Cerro Colorado, Arequipa",1000,5,6,3
1710000,"Cercado, Arequipa",470,7,3,2
2500,"Cerro Colorado, Arequipa",279,3,2,3
699300,"Yanahuara, Arequipa",158,3,2,
2011050,"Los Guindos, Cayma",193,4,4,2
1465200,"Ignacio Alvarez Thomas, Arequipa",300,4,3,1
1116900,"Cayma, Arequipa",240,4,4,3
1960000,"Yanahuara, Arequipa",500,5,4,2
5550000,"Vallecito, Arequipa",2081,14,15,9
1202000,"Yanahuara, Arequipa",281,3,2,
1035000,"Cayma, Arequipa",70,3,4,1
1889000,"Umacollo, Yanahuara",410,6,3,2
588800,"Colegio De Ingenieros, Cerro Colorado",157,3,2,1
554800,"Cercado De Mollendo, Mollendo",260,3,1,
1575000,"Santa Patricia, Yanahuara",249,4,3,2
1026000,"Arequipa, Arequipa",138,3,2,1
2590000,"Cerro Colorado, Arequipa",300,5,5,2
2035030,"Cayma, Arequipa",193,4,3,2
1030850,"Piedra Santa, Yanahuara",249,4,2,2
925000,"Vallecito, Arequipa",480,19,6,
1372000,"El Solar De Challapampa, Cerro Colorado",193,4,3,2
1500000,"Cercado De Yanahuara, Yanahuara",460,3,2,1
1014000,"Cercado De Cayma, Cayma",132,4,4,1
839173,"Arequipa, Arequipa",315,3,5,3
6290000,"Arequipa, Arequipa",1327,1,,
5412360,"Cerro Colorado, Arequipa",4800,,,
720100,"Albatros, Mollendo",239,4,3,2
520800,"Miraflores, Arequipa",113,3,1,
883600,"Arequipa, Arequipa",210,6,3,1
980400,"Ciudad De Dios, Yura",1273,8,5,3
2000000,"Cerro Colorado, Arequipa",350,4,4,2
914760,"Umacollo, Yanahuara",208,2,2,
1030400,"Quezada, Yanahuara",233,4,3,2
5640000,"Cercado, Arequipa",2028,14,16,1
4300000,"Santa Sofia, Cerro Colorado",696,3,3,2
212800,"La Punta, Samuel Pastor",200,4,2,2
1145500,"Cercado De Yanahuara, Yanahuara",290,3,1,
860200,"Arequipa, Arequipa",240,5,3,1
964600,"La Encalada, Jose Luis Bustamante Y Rivero",135,3,2,2
684000,"Socabaya, Arequipa",150,4,3,4
1875000,"Arequipa, Arequipa",128,3,2,1
1087500,"Miramar, Mollendo",500,7,4,4
10036000,"Los Angeles De Cayma, Cayma",142,7,5,2
1665000,"Arequipa, Arequipa",374,,,
967200,"Arequipa, Arequipa",220,5,3,1
1100000,"Camana, Camaná",230,4,2,1
240675,"Ampliacion La Tomilla, Cayma",100,2,1,
1059000,"Arequipa, Arequipa",290,4,3,
1221000,"Quezada, Yanahuara",282,4,3,2
1090400,"Vallecito, Arequipa",326,6,1,
4574530,"Arequipa, Arequipa",525,5,3,2
4155000,"Yanahuara, Arequipa",690,12,8,6
1081500,"Dolores, Jose Luis Bustamante Y Rivero",150,2,2,
2261000,"San Antonio, Cayma",280,4,4,2
5500000,"Cayma, Arequipa",1600,5,5,5
874200,"Piedra Santa, Yanahuara",80,3,3,1
962000,"Los Angeles De Cayma, Cayma",90,4,3,1
2380000,"Cercado De Yanahuara, Yanahuara",260,4,5,3
969800,"Arequipa, Arequipa",243,3,3,1
1488000,"Arequipa, Arequipa",450,7,2,1
1660000,"Umacollo, Yanahuara",245,7,4,2
3800000,"Cerro Colorado, Arequipa",611,3,4,1
2401400,"Cerro Colorado, Arequipa",347,4,4,3
2960000,"Yanahuara, Arequipa",600,4,4,2
902400,"Arequipa, Arequipa",240,5,3,2
1225250,"Vallecito, Arequipa",354,8,4,
2300000,"Selva Alegre, Arequipa",404,15,8,4
1037400,"San Jeronimo, Arequipa",262,3,2,1
1428480,"Cayma, Arequipa",150,4,4,2
4300000,"Quinta Siena, Cerro Colorado",730,4,6,2
1332000,"Mejia, Mejia",350,4,4,4
4320000,"Arequipa, Arequipa",719,5,6,6
673000,"Arequipa, Arequipa",160,4,2,
3083200,"Arequipa, Arequipa",299,8,5,
881250,"Arequipa, Arequipa",142,4,1,
2406625,"Yanahuara, Arequipa",500,4,3,2
603200,"Sudamericana, Cerro Colorado",280,5,1,1
683500,"Sachaca, Arequipa",283,6,3,1
733400,"Albatros, Mollendo",103,4,3,2
3885000,"Miraflores, Arequipa",733,,,
582800,"Arequipa, Arequipa",196,,,
600000,"Characato, Arequipa",220,4,3,1
2072000,"El Palacio, Sachaca",574,5,2,
